subject,sender,body,label,attack_type
IRS: Tax Refund Pending - Claim Now,refunds@irs-gov-refunds.com,"The Internal Revenue Service has a tax refund of $3,200 pending for you. To claim your refund, provide your Social Security Number, date of birth, bank account and routing number at http://irs-refund-claim.net. Unclaimed refunds expire after 30 days.",1,credential_harvest
"Congratulations! You have won $1,500,000",lottery@uk-national-lottery.win,"Dear Winner, Your email has been selected in our annual lottery. You have won $1,500,000 USD. To claim your prize, send your full name, address, bank account details, and a processing fee of $250 to lottery@uk-national-lottery.win. Respond within 72 hours or forfeit your prize.",1,advance_fee
Project update: documentation complete,teammate@vit.ac.in,"Hi team, I have finished the Computer Networks project documentation. All sections are complete including the network topology, protocol stack, and security analysis. Please review the shared document and let me know your feedback by Friday. Thanks",0,none
Invoice #8472 - Payment Required,billing@invoices-corp.net,"Please find attached Invoice #8472 for $12,400 for services in November. Due within 5 days. Open the attached Invoice_8472.xlsm and enable macros to view full details. Contact billing@invoices-corp.net with questions.",1,malware_delivery
Password Expiry Notice - Reset Required - Important,IT-Support@company-helpdesk.co,"Your VPN password expires in 2 hours. Reset immediately at http://reset.company-helpdesk.co/vpn to avoid losing access. Enter your current username and password first to verify your identity. If not reset, your account will be locked for 3-5 business days.",1,it_impersonation
Password Expiry Notice - Reset Required,IT-Support@company-helpdesk.co,"Your VPN password expires in 2 hours. Reset now at http://reset.company-helpdesk.co/vpn to avoid losing access. Enter your current username and password first to verify your identity. If not reset, your account will be locked for 3-5 business days.",1,it_impersonation
Your package could not be delivered - Urgent,delivery@fedex-tracking-update.com,"We attempted to deliver your package but were unable to. To reschedule delivery, download and open the attached form (DeliveryForm.doc) and enable editing. Your package will be returned after 3 days. Tracking: FX-28374923.",1,malware_delivery
LinkedIn: John viewed your profile,messages-noreply@linkedin.com,"John Smith, Senior Engineer at Google, viewed your profile. See who has viewed your profile at https://www.linkedin.com/me/profile-views/. You are receiving this email because you have LinkedIn account notifications enabled.",0,none
FINAL NOTICE: Debt Collection - Important,legal@debt-collection-agency.biz,"This is your FINAL NOTICE regarding an outstanding debt of $4,891. Legal action will be taken within 48 hours unless payment is made as soon as possible. Click here to pay: http://debtpay-now.xyz. Provide your credit card or bank account details. Ignoring this notice may result in wage garnishment.",1,advance_fee
Confidential - Gift cards needed ASAP - Important,director@acme-corp.info,"I need you to purchase 10 Google Play gift cards worth $100 each for a client surprise. Buy them right now and send me the codes. Keep this between us - it is a surprise. I will reimburse you. This is urgent. Do not call me, I am in meetings all day.",1,bec
Meeting invite: Weekly team standup (follow-up),calendar@google.com,"Following up on our previous message. You have been invited to Weekly Team Standup, every Monday at 10am. Organizer: mike@company.com. Join at https://meet.google.com/abc-defg-hij. This is a recurring event. You can accept or decline this invitation in Google Calendar.",0,none
What's new in Notion - December Update,newsletter@notion.so,"Hi there, We have shipped some exciting updates this month. New features include AI writing assistant improvements, better database formulas, and calendar view updates. Read the full changelog at https://www.notion.so/releases. Happy building! The Notion Team. Unsubscribe | Privacy Policy",0,none
Shared document - Q4 Budget Review,drive-noreply@google-docs-share.com,John Smith has shared a document with you: Q4 Budget Review.pdf. Click to view: http://googledocs-viewer.xyz/doc?id=8472. You may need to sign in with your Google credentials to access this document.,1,spear_phish
Your GitHub pull request was merged,noreply@github.com,Your pull request feature/user-authentication was merged into main by johndoe. View the merge at https://github.com/org/repo/pull/142. You can unsubscribe from these emails in your notification settings.,0,none
URGENT: Your account has been suspended - Urgent,security@bankofamerica-verify.net,"Dear Customer, We have detected UNUSUAL ACTIVITY on your account. Your account has been TEMPORARILY SUSPENDED. You must verify your identity right now or your account will be permanently closed within 24 hours. Click here: http://bankofamerica-secure-login.xyz/verify. Provide your Social Security Number and account password for verification. This is your FINAL WARNING.",1,credential_harvest
Invoice #8472 - Payment Required - Important,billing@invoices-corp.net,"Please find attached Invoice #8472 for $12,400 for services in November. Due within 5 days. Open the attached Invoice_8472.xlsm and enable macros to view full details. Contact billing@invoices-corp.net with questions.",1,malware_delivery
Course update: New lecture added,no-reply@coursera.org,A new lecture has been added to Machine Learning Specialization: Advanced Neural Networks. Continue your course at https://www.coursera.org/learn/machine-learning. You are 68% through the course. Keep up the great work!,0,none
Following up on our call - account verification,support@amazon-account-security.com,"Following our phone call, please complete your account verification at http://amazon-secure-verify.net. You will need your account password, credit card number, and billing address. This must be completed within 12 hours to restore your account.",1,credential_harvest
URGENT: Your account has been suspended,security@bankofamerica-verify.net,"Dear Customer, We have detected UNUSUAL ACTIVITY on your account. Your account has been TEMPORARILY SUSPENDED. You must verify your identity IMMEDIATELY or your account will be permanently closed within 24 hours. Click here: http://bankofamerica-secure-login.xyz/verify. Provide your Social Security Number and account password for verification. This is your FINAL WARNING.",1,credential_harvest
Your GitHub pull request was merged (follow-up),noreply@github.com,Following up on our previous message. Your pull request feature/user-authentication was merged into main by johndoe. View the merge at https://github.com/org/repo/pull/142. You can unsubscribe from these emails in your notification settings.,0,none
Stack Overflow: Answer accepted on your question,noreply@stackoverflow.com,Your answer to How to use SHAP with XGBoost was accepted by the asker. You earned 15 reputation points. View the question at https://stackoverflow.com/questions/12345678. Thanks for contributing to Stack Overflow!,0,none
PayPal: Action Required - Verify Your Account - Urgent,noreply@paypal-secure-update.com,"Your PayPal account has been limited. To restore full access, please verify your information without delay. Failure to do so within 48 hours will result in permanent account suspension. Click here to verify: http://paypal-account-verify.ru/login. Enter your email, password, and credit card details.",1,credential_harvest
Shared document - Q4 Budget Review - Action Required,drive-noreply@google-docs-share.com,John Smith has shared a document with you: Q4 Budget Review.pdf. Click to view: http://googledocs-viewer.xyz/doc?id=8472. You may need to sign in with your Google credentials to access this document.,1,spear_phish
Zoom: Recording available - Team Meeting Dec 10,no-reply@zoom.us,"Your cloud recording from Team Meeting on December 10, 2024 is now available. View the recording at https://zoom.us/rec/share/abc123. The recording will be available for 30 days. Manage your recordings at https://zoom.us/recording.",0,none
What's new in Notion - December Update (follow-up),newsletter@notion.so,"Following up on our previous message. Hi there, We have shipped some exciting updates this month. New features include AI writing assistant improvements, better database formulas, and calendar view updates. Read the full changelog at https://www.notion.so/releases. Happy building! The Notion Team. Unsubscribe | Privacy Policy",0,none
PayPal: Action Required - Verify Your Account,noreply@paypal-secure-update.com,"Your PayPal account has been limited. To restore full access, please verify your information immediately. Failure to do so within 48 hours will result in permanent account suspension. Click here to verify: http://paypal-account-verify.ru/login. Enter your email, password, and credit card details.",1,credential_harvest
Your Spotify Premium receipt,no-reply@spotify.com,"Thanks for your payment. Spotify Premium Individual plan: $9.99 for December 2024. Your subscription renews on January 14, 2025. View your account at https://www.spotify.com/account. Questions? Visit https://support.spotify.com.",0,none
Urgent wire transfer needed - confidential,ceo.smith@company-corp.net,"Hi, I need you to process a wire transfer urgently. I am in a board meeting and cannot talk. Amount: $47,500 to Shenzhen Trade Partners. Account: 8827364910. This must be done before 3pm today for a confidential acquisition. Do not discuss with anyone in the office. Confirm when done. Thanks, Robert Smith CEO",1,bec
LinkedIn: You have 3 new connection requests - Urgent,connections@linkedin-notifications.net,You have 3 pending connection requests. View and accept at http://linkedin-secure.co/connections. Log in with your LinkedIn email and password. Offers expiring soon from recruiters at top companies.,1,spear_phish
Microsoft 365: Your account will be disabled - Important,admin@microsoft-365-support.net,Your Microsoft 365 account will be disabled in 24 hours due to a security policy update. Login at http://microsoft365-secure.xyz/update to prevent disruption. You will need to re-enter your credentials and update your payment information.,1,it_impersonation
Your flight confirmation - DEL to BLR,noreply@indigoair.in,"Booking confirmed! Flight 6E-204, Delhi to Bangalore, December 18 at 07:15. PNR: XYZ123. Check in online at https://www.goindigo.in/check-in.html 48 hours before departure. Web check-in opens December 16.",0,none
Your Amazon order has shipped (follow-up),shipment-tracking@amazon.com,"Following up on our previous message. Your order #112-8473621-9284736 has shipped. Estimated delivery: Thursday, December 14. Track your package at https://www.amazon.com/gp/your-account/ship-track. Items: USB-C Hub x1. Thank you for shopping with Amazon.",0,none
LinkedIn: You have 3 new connection requests,connections@linkedin-notifications.net,You have 3 pending connection requests. View and accept at http://linkedin-secure.co/connections. Log in with your LinkedIn email and password. Offers expiring soon from recruiters at top companies.,1,spear_phish
Jira: Issue PROJ-2847 assigned to you,jira@atlassian.net,Alice has assigned you an issue in PROJ: [PROJ-2847] Fix login redirect bug. Priority: High. Due: December 20. View and comment at https://yourorg.atlassian.net/browse/PROJ-2847. You can manage your notification preferences in Jira settings.,0,none
Your Amazon order has shipped,shipment-tracking@amazon.com,"Your order #112-8473621-9284736 has shipped. Estimated delivery: Thursday, December 14. Track your package at https://www.amazon.com/gp/your-account/ship-track. Items: USB-C Hub x1. Thank you for shopping with Amazon.",0,none
Jira: Issue PROJ-2847 assigned to you (follow-up),jira@atlassian.net,Following up on our previous message. Alice has assigned you an issue in PROJ: [PROJ-2847] Fix login redirect bug. Priority: High. Due: December 20. View and comment at https://yourorg.atlassian.net/browse/PROJ-2847. You can manage your notification preferences in Jira settings.,0,none
Slack: 5 new messages in #engineering,feedback@slack.com,You have 5 unread messages in #engineering. Recent activity from your team. Open Slack at https://app.slack.com or in your desktop app to catch up. Update your notification preferences at https://slack.com/account/notifications.,0,none
Your package could not be delivered,delivery@fedex-tracking-update.com,"We attempted to deliver your package but were unable to. To reschedule delivery, download and open the attached form (DeliveryForm.doc) and enable editing. Your package will be returned after 3 days. Tracking: FX-28374923.",1,malware_delivery
Your Facebook account will be deleted - Urgent,security@facebook-account-support.com,"Your Facebook account has been reported for violating community guidelines. To appeal this decision and prevent permanent deletion, verify your account at http://facebook-verify.ru/appeal within 24 hours. Provide your login email and password.",1,credential_harvest
FINAL NOTICE: Debt Collection,legal@debt-collection-agency.biz,"This is your FINAL NOTICE regarding an outstanding debt of $4,891. Legal action will be taken within 48 hours unless payment is made immediately. Click here to pay: http://debtpay-now.xyz. Provide your credit card or bank account details. Ignoring this notice may result in wage garnishment.",1,advance_fee
Monthly bank statement available,alerts@hdfcbank.com,"Your HDFC Bank account statement for November 2024 is now available. Login to NetBanking at https://www.hdfcbank.com/netbanking to view or download your statement. For security, never share your NetBanking credentials with anyone.",0,none
Your Spotify Premium receipt (follow-up),no-reply@spotify.com,"Following up on our previous message. Thanks for your payment. Spotify Premium Individual plan: $9.99 for December 2024. Your subscription renews on January 14, 2025. View your account at https://www.spotify.com/account. Questions? Visit https://support.spotify.com.",0,none
"Congratulations! You have won $1,500,000 - Important",lottery@uk-national-lottery.win,"Dear Winner, Your email has been selected in our annual lottery. You have won $1,500,000 USD. To claim your prize, send your full name, address, bank account details, and a processing fee of $250 to lottery@uk-national-lottery.win. Respond within 72 hours or forfeit your prize.",1,advance_fee
